timestamp,unique_device_id,device_short_id,pc_name,collection_mode,sample_index,true_label,prediction,correct,model_type,framework,pennylane_version,quantum_device,circuit_type,n_qubits,n_layers,parameter_count,circuit_depth_estimate,encoding_gates,trainable_gates,entangling_gates,entangling_type,total_gates,raw_score,confidence_score,score_margin,entropy,execution_time_sec,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,total_energy_kwh,total_emissions_kg,carbon_intensity_kgco2_kwh,codecarbon_version,input_tokens,output_tokens,total_tokens,tokens_per_second,joules_per_token,energy_per_token_kwh,watts_estimated,cpu_model,cpu_core_count,cpu_thread_count,cpu_usage_pct,cpu_clock_mhz,cpu_cores_used,ram_usage_pct,memory_footprint_mb,system_ram_total_gb,os_full_name,os_name,os_architecture,python_version,model_accuracy,model_precision_weighted,model_recall_weighted,model_f1_weighted,model_precision_macro,model_recall_macro,model_macro_f1
2026-07-06 12:43:18,f8d8977641a4e9c8af37815f9794a5c82447b4c4b2580e7598695fb7caaaa584,f8d89776,CS-548426,quantum_circuit_qubit_sweep_codecarbon,0,-1,1,False,RY_RZ_LINEAR_1Q,PennyLane,0.45.1,default.qubit,RY_RZ_LINEAR,1,4,13,6,2,4,0,CNOT_LINEAR,6,0.14839623,0.537031,0.148396,0.690402,0.0025775,3.1317915876470526e-06,4.847781655881178e-06,1.0620707611378746e-05,1.8600280854906976e-05,6.84504572940763e-06,0.36800765,3.2.8,1,1,2,775.9457,33.48050554,9.30014e-06,25979.05424648,Intel(R) Core(TM) i7-14700,20,28,15.6,2112.0,9,35.8,248.3047,79.69,Windows 10 10.0.26100 AMD64,Windows,AMD64,3.11.9,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6444444444444444,0.7222222222222223,0.6666666666666666,0.6444444444444444
2026-07-06 12:43:26,f8d8977641a4e9c8af37815f9794a5c82447b4c4b2580e7598695fb7caaaa584,f8d89776,CS-548426,quantum_circuit_qubit_sweep_codecarbon,1,1,1,True,RY_RZ_LINEAR_1Q,PennyLane,0.45.1,default.qubit,RY_RZ_LINEAR,1,4,13,6,2,4,0,CNOT_LINEAR,6,0.11479166,0.528666,0.114792,0.691503,0.0028472,4.940162962568937e-06,4.7177815520882405e-06,1.672899650002364e-05,2.6386941014680818e-05,9.710596270755896e-06,0.36800765,3.2.8,1,1,2,702.4445,47.49649383,1.3193471e-05,33363.65087133,Intel(R) Core(TM) i7-14700,20,28,3.5,2112.0,9,35.8,248.9414,79.69,Windows 10 10.0.26100 AMD64,Windows,AMD64,3.11.9,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6444444444444444,0.7222222222222223,0.6666666666666666,0.6444444444444444
2026-07-06 12:43:32,f8d8977641a4e9c8af37815f9794a5c82447b4c4b2580e7598695fb7caaaa584,f8d89776,CS-548426,quantum_circuit_qubit_sweep_codecarbon,2,1,1,True,RY_RZ_LINEAR_1Q,PennyLane,0.45.1,default.qubit,RY_RZ_LINEAR,1,4,13,6,2,4,0,CNOT_LINEAR,6,0.33488551,0.582948,0.334886,0.679323,0.0024339,3.13195545814524e-06,4.675003740128858e-06,1.0619861056135656e-05,1.842682025440976e-05,6.781210900680259e-06,0.36800765,3.2.8,1,1,2,821.7265,33.16827646,9.21341e-06,27255.25037132,Intel(R) Core(TM) i7-14700,20,28,3.3,2112.0,8,35.8,249.7188,79.69,Windows 10 10.0.26100 AMD64,Windows,AMD64,3.11.9,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6444444444444444,0.7222222222222223,0.6666666666666666,0.6444444444444444
2026-07-06 12:43:39,f8d8977641a4e9c8af37815f9794a5c82447b4c4b2580e7598695fb7caaaa584,f8d89776,CS-548426,quantum_circuit_qubit_sweep_codecarbon,3,1,1,True,RY_RZ_LINEAR_1Q,PennyLane,0.45.1,default.qubit,RY_RZ_LINEAR,1,4,13,6,2,4,0,CNOT_LINEAR,6,0.15948715,0.539787,0.159487,0.689978,0.0025338,3.153239678051277e-06,1.0669452978895322e-06,1.0652210667192574e-05,1.4872395643133384e-05,5.473155436587624e-06,0.36800765,3.2.8,1,1,2,789.3283,26.77031216,7.436198e-06,21130.56475551,Intel(R) Core(TM) i7-14700,20,28,4.8,2112.0,8,35.8,249.3594,79.69,Windows 10 10.0.26100 AMD64,Windows,AMD64,3.11.9,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6444444444444444,0.7222222222222223,0.6666666666666666,0.6444444444444444
2026-07-06 12:43:46,f8d8977641a4e9c8af37815f9794a5c82447b4c4b2580e7598695fb7caaaa584,f8d89776,CS-548426,quantum_circuit_qubit_sweep_codecarbon,4,-1,1,False,RY_RZ_LINEAR_1Q,PennyLane,0.45.1,default.qubit,RY_RZ_LINEAR,1,4,13,6,2,4,0,CNOT_LINEAR,6,0.05078852,0.512694,0.050789,0.692825,0.0025875,3.141471804808456e-06,4.714448215814571e-06,1.0652098777451708e-05,1.8508018798074737e-05,6.81109258627865e-06,0.36800765,3.2.8,1,1,2,772.9469,33.31443384,9.254009e-06,25750.28674165,Intel(R) Core(TM) i7-14700,20,28,3.3,2112.0,8,35.8,249.3711,79.69,Windows 10 10.0.26100 AMD64,Windows,AMD64,3.11.9,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6444444444444444,0.7222222222222223,0.6666666666666666,0.6444444444444444
2026-07-06 12:43:53,f8d8977641a4e9c8af37815f9794a5c82447b4c4b2580e7598695fb7caaaa584,f8d89776,CS-548426,quantum_circuit_qubit_sweep_codecarbon,5,1,1,True,RY_RZ_LINEAR_1Q,PennyLane,0.45.1,default.qubit,RY_RZ_LINEAR,1,4,13,6,2,4,0,CNOT_LINEAR,6,0.33751437,0.583587,0.337514,0.679108,0.0026757,3.1372797340644893e-06,1.0330563822158467e-06,1.064037788901866e-05,1.4810714005298996e-05,5.450456121725948e-06,0.36800765,3.2.8,1,1,2,747.468,26.65928521,7.405357e-06,19926.9613151,Intel(R) Core(TM) i7-14700,20,28,3.2,2112.0,8,35.7,249.4805,79.69,Windows 10 10.0.26100 AMD64,Windows,AMD64,3.11.9,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6444444444444444,0.7222222222222223,0.6666666666666666,0.6444444444444444
2026-07-06 12:44:00,f8d8977641a4e9c8af37815f9794a5c82447b4c4b2580e7598695fb7caaaa584,f8d89776,CS-548426,quantum_circuit_qubit_sweep_codecarbon,6,1,1,True,RY_RZ_LINEAR_1Q,PennyLane,0.45.1,default.qubit,RY_RZ_LINEAR,1,4,13,6,2,4,0,CNOT_LINEAR,6,0.11761147,0.529369,0.117611,0.691421,0.0024253,4.954947608327496e-06,4.765003811968427e-06,1.680098961065394e-05,2.6520941030949863e-05,9.75990930243848e-06,0.36800765,3.2.8,1,1,2,824.6403,47.73769386,1.3260471e-05,39366.42452012,Intel(R) Core(TM) i7-14700,20,28,10.9,2112.0,6,35.6,249.3359,79.69,Windows 10 10.0.26100 AMD64,Windows,AMD64,3.11.9,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6444444444444444,0.7222222222222223,0.6666666666666666,0.6444444444444444
2026-07-06 12:44:07,f8d8977641a4e9c8af37815f9794a5c82447b4c4b2580e7598695fb7caaaa584,f8d89776,CS-548426,quantum_circuit_qubit_sweep_codecarbon,7,1,1,True,RY_RZ_LINEAR_1Q,PennyLane,0.45.1,default.qubit,RY_RZ_LINEAR,1,4,13,6,2,4,0,CNOT_LINEAR,6,0.17806734,0.5444,0.178067,0.689199,0.0024329,3.1353355936833846e-06,4.710281546138617e-06,1.0628082777677466e-05,1.8473699917499468e-05,6.798462975535013e-06,0.36800765,3.2.8,1,1,2,822.0642,33.25265985,9.23685e-06,27335.82115406,Intel(R) Core(TM) i7-14700,20,28,6.7,2112.0,8,35.6,249.4922,79.69,Windows 10 10.0.26100 AMD64,Windows,AMD64,3.11.9,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6444444444444444,0.7222222222222223,0.6666666666666666,0.6444444444444444
2026-07-06 12:44:14,f8d8977641a4e9c8af37815f9794a5c82447b4c4b2580e7598695fb7caaaa584,f8d89776,CS-548426,quantum_circuit_qubit_sweep_codecarbon,8,1,-1,False,RY_RZ_LINEAR_1Q,PennyLane,0.45.1,default.qubit,RY_RZ_LINEAR,1,4,13,6,2,4,0,CNOT_LINEAR,6,-0.03588775,0.508971,0.035888,0.692986,0.0024454,4.914334134550297e-06,4.758337139865176e-06,1.6657745444455133e-05,2.633041671887061e-05,9.6897948972357e-06,0.36800765,3.2.8,1,1,2,817.8621,47.39475009,1.3165208e-05,38762.37033586,Intel(R) Core(TM) i7-14700,20,28,3.8,2112.0,7,35.6,249.4336,79.69,Windows 10 10.0.26100 AMD64,Windows,AMD64,3.11.9,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6444444444444444,0.7222222222222223,0.6666666666666666,0.6444444444444444
2026-07-06 12:44:21,f8d8977641a4e9c8af37815f9794a5c82447b4c4b2580e7598695fb7caaaa584,f8d89776,CS-548426,quantum_circuit_qubit_sweep_codecarbon,9,-1,-1,True,RY_RZ_LINEAR_1Q,PennyLane,0.45.1,default.qubit,RY_RZ_LINEAR,1,4,13,6,2,4,0,CNOT_LINEAR,6,-0.22300645,0.555522,0.223006,0.686969,0.0027299,3.134913431196229e-06,4.776114931992481e-06,1.062527816671516e-05,1.853630652990387e-05,6.821502688118621e-06,0.36800765,3.2.8,1,1,2,732.6276,33.36535175,9.268153e-06,24444.37647701,Intel(R) Core(TM) i7-14700,20,28,4.9,2112.0,8,35.6,249.5234,79.69,Windows 10 10.0.26100 AMD64,Windows,AMD64,3.11.9,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6444444444444444,0.7222222222222223,0.6666666666666666,0.6444444444444444
